months_as_customer;age;policy_state;policy_csl;policy_deductable;policy_annual_premium;umbrella_limit;insured_sex;insured_education_level;insured_occupation;insured_hobbies;insured_relationship;capital-gains;capital-loss;incident_type;collision_type;incident_severity;authorities_contacted;incident_state;incident_city;incident_hour_of_the_day;number_of_vehicles_involved;property_damage;bodily_injuries;witnesses;police_report_available;total_claim_amount;injury_claim;property_claim;vehicle_claim;auto_make;auto_model;auto_year;fraud_reported
193;40;0.227;0.257;500;1155.38;0.0;0.234;0.264;0.204;0.163;0.258;34200;-32300;0.29;0.254;0.107;0.269;0.221;0.261;6;1;0.24;0;0;0.229;63900;6390;6390.0;51120;0.19;0.2;14;0
435;60;0.258;0.216;500;1064.49;5000000.0;0.26;0.234;0.169;0.826;0.293;73500;-43300;0.29;0.276;0.128;0.291;0.179;0.289;23;1;0.24;2;1;0.255;62880;5240;10480.0;47160;0.338;0.259;8;1
122;34;0.254;0.262;1000;1220.71;0.0;0.26;0.264;0.237;0.2;0.21;58600;-28700;0.095;0.089;0.107;0.066;0.294;0.234;5;1;0.24;2;1;0.229;8190;1890;1260.0;5040;0.276;0.409;2;0
45;31;0.254;0.257;500;1459.5;0.0;0.26;0.264;0.169;0.163;0.258;0;0;0.095;0.089;0.107;0.066;0.221;0.242;6;1;0.24;1;3;0.255;6000;1000;1000.0;4000;0.238;0.3;15;0
259;39;0.258;0.262;1000;1422.36;0.0;0.234;0.261;0.297;0.163;0.24;0;-83900;0.27;0.254;0.107;0.269;0.266;0.261;12;3;0.24;1;3;0.255;46560;7760;7760.0;31040;0.179;0.13;3;0
112;30;0.258;0.216;1000;1166.54;0.0;0.234;0.224;0.212;0.195;0.258;47700;-59300;0.29;0.276;0.605;0.269;0.294;0.289;3;1;0.258;2;0;0.255;107900;10790;21580.0;75530;0.25;0.162;18;1
230;43;0.254;0.257;2000;1221.14;0.0;0.26;0.264;0.212;0.29;0.27;48100;0;0.29;0.254;0.128;0.291;0.227;0.248;13;1;0.24;0;2;0.255;75460;13720;13720.0;48020;0.304;0.344;13;0
156;37;0.254;0.262;500;1090.65;0.0;0.26;0.225;0.368;0.109;0.24;0;-51800;0.27;0.312;0.107;0.209;0.309;0.261;16;4;0.24;1;2;0.229;53400;5340;5340.0;42720;0.255;0.363;5;1
278;48;0.254;0.216;2000;1142.62;7000000.0;0.234;0.264;0.302;0.116;0.258;0;-54000;0.29;0.276;0.128;0.291;0.294;0.221;12;1;0.24;2;0;0.255;76050;11700;11700.0;52650;0.276;0.409;18;0
101;29;0.258;0.262;500;1380.89;0.0;0.26;0.264;0.246;0.116;0.21;30000;-53000;0.27;0.312;0.107;0.291;0.294;0.289;0;3;0.24;2;1;0.255;67210;12220;12220.0;42770;0.277;0.437;19;0
386;53;0.258;0.262;500;1078.65;0.0;0.26;0.261;0.297;0.091;0.258;36800;0;0.29;0.276;0.107;0.209;0.179;0.234;16;1;0.24;2;3;0.229;66660;12120;6060.0;48480;0.255;0.363;9;0
475;57;0.258;0.257;500;1216.56;0.0;0.26;0.224;0.169;0.224;0.21;67400;-83200;0.29;0.276;0.107;0.209;0.294;0.248;20;1;0.24;0;2;0.255;78000;6500;13000.0;58500;0.238;0.285;15;0
241;39;0.227;0.262;2000;1042.26;0.0;0.26;0.261;0.276;0.093;0.205;0;0;0.27;0.312;0.128;0.291;0.179;0.234;21;3;0.24;1;2;0.255;19080;4240;2120.0;12720;0.225;0.2;20;0
61;23;0.227;0.262;2000;1136.83;4000000.0;0.234;0.234;0.282;0.193;0.21;0;-62400;0.29;0.254;0.605;0.209;0.221;0.261;14;1;0.24;0;3;0.255;98340;8940;17880.0;71520;0.255;0.231;11;1
266;46;0.258;0.257;2000;1578.54;0.0;0.26;0.234;0.204;0.826;0.205;0;-41400;0.29;0.276;0.107;0.269;0.179;0.248;18;1;0.24;1;3;0.229;83490;7590;15180.0;60720;0.179;0.129;19;0
290;45;0.258;0.257;1000;1311.3;0.0;0.234;0.234;0.237;0.826;0.27;38500;0;0.27;0.254;0.605;0.291;0.221;0.248;23;3;0.258;0;0;0.229;52650;5850;5850.0;40950;0.305;0.37;14;1
94;30;0.254;0.262;2000;1025.54;0.0;0.234;0.225;0.246;0.228;0.293;0;-52600;0.29;0.312;0.605;0.269;0.309;0.289;19;1;0.24;1;3;0.229;64100;6410;6410.0;51280;0.276;0.1;14;0
256;43;0.258;0.257;500;1203.17;0.0;0.234;0.264;0.212;0.109;0.24;56700;-65600;0.29;0.312;0.128;0.269;0.179;0.248;11;1;0.24;0;0;0.255;63250;11500;5750.0;46000;0.179;0.13;18;0
219;43;0.254;0.257;1000;1483.25;0.0;0.234;0.264;0.368;0.193;0.258;90700;-20800;0.27;0.276;0.605;0.291;0.309;0.224;3;3;0.24;1;1;0.255;70680;5890;11780.0;53010;0.305;0.285;6;0
8;35;0.258;0.257;2000;1266.92;0.0;0.26;0.224;0.276;0.276;0.21;0;0;0.27;0.312;0.605;0.318;0.436;0.289;16;3;0.24;1;3;0.229;71500;16500;11000.0;44000;0.305;0.25;9;1
216;38;0.254;0.257;1000;1384.64;5000000.0;0.234;0.234;0.282;0.29;0.24;0;0;0.29;0.312;0.128;0.209;0.227;0.261;16;1;0.24;2;3;0.255;66600;16650;11100.0;38850;0.164;0.24;3;1
295;49;0.227;0.257;500;1141.62;0.0;0.26;0.262;0.212;0.093;0.205;34300;-24300;0.085;0.089;0.107;0.066;0.179;0.261;4;1;0.258;1;3;0.229;4320;480;480.0;3360;0.338;0.259;13;0
48;35;0.227;0.257;500;1090.03;0.0;0.234;0.261;0.368;0.109;0.24;0;-51000;0.29;0.312;0.605;0.291;0.179;0.289;1;1;0.258;0;2;0.255;48400;9680;4840.0;33880;0.225;0.285;10;0
137;31;0.258;0.262;2000;1340.43;0.0;0.26;0.225;0.368;0.228;0.205;52700;-40600;0.27;0.254;0.107;0.291;0.309;0.289;6;3;0.24;1;2;0.255;50800;10160;10160.0;30480;0.19;0.222;10;0
73;29;0.227;0.262;1000;1447.78;0.0;0.26;0.262;0.222;0.29;0.27;35100;-59900;0.27;0.312;0.128;0.318;0.294;0.289;15;3;0.258;1;0;0.255;44910;4990;4990.0;34930;0.25;0.162;14;0
